id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1245138116429647874
1245138098998173696
1245137885684211712
1245137767207665667
1245137560260825089
1245137343050383360
1245137130797531138
1245136910932197383
1245136698314498050
1245136575479967744
1245136264736669696
1245136203785154566
1245135397145006085
1245135022337785856
1245134925180874756
1245134559320125447
1245134523152699392
1245134232348917760
1245134164426461187
1245133821961527297
1245133721524723717
1245133219986628609
1245133191616266241
1245132910803456002
1245132867656732673
1245132822785986560
1245132446569553920
1245132388642029576
1245131690848239618
1245131338262470663
1245131193370267649
1245131032317353986
1245130772228517888
1245130709167194112
1245130667958173700
1245130576052527110
1245130152738205696
1245129212824039425
1245128912348250114
1245128841112231937
1245128209982787599
1245128001261654018
1245127921158754311
1245127787939332101
1245127567830589447
1245127544187346944
1245127446460014605
1245127043332943883
1245126696371699714
1245126464716095488
1245126229403013121
1245126163179200512
1245126057361096704
1245125696931979264
1245125574156324865
1245125378546466816
1245124954259099653
1245124692974977024
1245124146117443584
1245123951564554242
1245123705337974785
1245123699105292295
1245123324319092737
1245123189262467074
1245122792514879494
1245122567112884229
1245122564944465920
1245122451706728450
1245122022251913225
1245121845327728641
1245121765476573187
1245121320796463104
1245121222091956225
1245120961990537217
1245120896622346249
1245120853890732036
1245120826778816512
1245120656301330437
1245120281724641281
1245120233142132736
1245120166754758659
1245119893210619907
1245119751308881922
1245119686779580426
1245119632001949702
1245119554981892096
1245119529467949056
1245119503857594371
1245119468365381633
1245119454859665408
1245119365932101633
1245119245253586944
1245119113082568704
1245119023257391104
1245118265967415296
1245118258677788674
1245118208455118848
1245118136074076164
1245138738356854785
1245138640864509952
1245138116429647874
1245138098998173696
1245137885684211712
1245137767207665667
1245137560260825089
1245137343050383360
1245137130797531138
1245136910932197383
1245136698314498050
1245136575479967744
1245136264736669696
1245136203785154566
1245135397145006085
1245135022337785856
1245134925180874756
1245134559320125447
1245134523152699392
1245134232348917760
1245134164426461187
1245133821961527297
1245133721524723717
1245133219986628609
1245133191616266241
1245132910803456002
1245132867656732673
1245132822785986560
1245132446569553920
1245132388642029576
1245131690848239618
1245131338262470663
1245131193370267649
1245131032317353986
1245130772228517888
1245130709167194112
1245130667958173700
1245130576052527110
1245130152738205696
